ExcelTime,Tunnel,Fetch,T1(mm),T2(mm),S1(mm),S2(mm),Main(mm),Boost(mm),TTdesc,Direction,Location,ProfileTime,X(mm),Yomni(mm),Yhf(mm),Z(mm),Uhf/Uref,Uomni/Uref,TIUhf(%),TIUomni(%),TIVomni(%),TIWomni(%),Uhf(m/s),Uomni(m/s),Vomni(m/s),Womni(m/s),u'w',u'v',v'w',Lengthscalehf(mm),UdemNom(m/s),Uref(m/s),MeasTime(sec),Template,Seconds,Raw
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File,since,Data
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,1st Jan,Filename
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43953.1,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,24.6,0.3644,0.4115,39.8,33.26,29.2,17.75,6.4621,7.2972,0.1233,-0.0485,-0.94456,-0.23756,0.13418,180,15,17.7333,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231317,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_342.xls
43953.1,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,30.5,0.3836,0.4245,37.96,32.73,27.81,18.17,6.8177,7.5448,-0.032,-0.0878,-1.0796,0.13664,0.078859,162,15,17.773,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231388,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_343.xls
43953.1,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,37.4,0.4022,0.4496,37.34,29.59,24.67,17.36,7.1012,7.9364,-0.181,-0.097,-0.97728,-0.26845,0.29991,160,15,17.654,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231460,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_344.xls
43953.11,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,46.1,0.4189,0.4607,36.17,28.96,24.19,17.31,7.4445,8.1872,-0.148,-0.1552,-1.0072,-0.35423,0.30639,160,15,17.7709,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231532,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_345.xls
43953.11,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,56.5,0.4439,0.4779,34.32,29.41,22.37,17.21,7.8767,8.4809,-0.1046,-0.1651,-1.3043,-0.047797,0.14759,199,15,17.7461,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231603,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_346.xls
43953.11,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,69.7,0.4856,0.5188,33.05,26.95,21.23,16.82,8.5492,9.133,-0.1611,-0.2274,-1.4191,-0.07806,0.14543,210,15,17.6055,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231676,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_347.xls
43953.11,GDW, T1-300 T2-0 S1-0 S2-715 M-75 B-75 TT-M75B75,300,0,0,715,75,75,M75B75,Vertical Profile,TTC,3671231253,-100,0,85,85.6,0.5151,0.5361,31.31,27.35,21.17,16.22,9.0777,9.4474,-0.1822,-0.291,-1.576,-0.15764,0.28678,266,15,17.6234,60,GoldPlating.tpt last mod 02/07/2020 18:08,3671231752,<DATA_ROOT>\Projects\G153W\Raw_Measurements\GDW\G153W_Res_0022_GoldPlateWest_xls\G153W_Res_0022_GoldPlateWest_348.xls
